appellation,oeil,nez,bouche,mets_et_vin
Saint-aubin,": Grenat sombre ou carminé, le plus souvent intense, le saint-aubin rouge laisse apparaître des reflets framboisés.En blanc, il est or pâle ou bouton d'or. Toutes les nuances existent selon la vinification et le millésime.","En rouge, se libèrent des arômes de mûre, de crème de cassis, de cerise griotte, de kirsch. Le dégustateur a ainsi l'impression de poser le nez sur un pot de confiture de fruits rouges. Le sous-bois, l'humus, le champignon complètent la palette. Plus mûr, le vin évolue vers des senteurs d'épices (girofle), de pruneau, d'animal et de cuir.Le saint-aubin blanc associe dans sa jeunesse des arômes de fleurs blanches, de silex, d'amande verte, de fleur d'oranger, de fougère, de citron, avec des connotations florales. Avec l'âge, il évoque la cire d'abeille et le miel, la pâte d'amandes, l'ambre, les épices (poivre, cannelle).","Le saint-aubin rouge est charnu dès sa jeunesse. Sa bonne mâche repose sur des tanins présents. L'évolution le rend tendre et souple, chaleureux. On éprouve alors une sensation savoureuse, souvent très persistante.Un vin blanc sec et onctueux, ferme et caressant le saint-aubin offre ces qualités. Parfois un peu pointu dans son adolescence, vif, il sait se montrer mœlleux au terme d'un élevage de deux ou trois ans. Riche, gras, complet, reposant sur une bonne acidité, il présente alors une bouche délicieusement miellée.","Pâté de lièvre, agneau au four, charolais, volaille rôtie, fromages. crustacés, truite aux amandes, poisson à la crème, foie gras, feuilleté, viande blanche, fromages."
Santenay,": La robe du santenay rouge est parfaitement définie par le nom d'un des climats du vignoble : Beauregard. Un regard rouge sombre tirant sur le noir – cerise noire, tulipe noire –, ou encore pivoine très soutenu, rubis violacé.Jaune léger, le santenay blanc évolue vers l'or et l'émeraude.","Les arômes du santenay rouge s'inscrivent dans des gammes classiques en pinot noir les petits fruits (framboise, groseille, myrtille), les épices (poivre, cannelle), des nuances de violette, de menthe, de réglisse, ou encore des notes balsamiques (résine de pin). Le champignon n'est pas rare. Avec l'âge, le vin dévoile des arômes de cuir et de fruits confits, macérés, qui tirent sur le noyau (pruneau).Le santenay blanc offre des touches de fleurs blanches, d'agrumes, d'amande douce et de pain grillé.","Le santenay rouge peut se présenter d'emblée sous des traits suaves, tendres et ronds, avec une jolie suite en bouche d'arômes fruités. Charpenté, il est sérieux et accompli. Un vin de garde, assurément.En blanc, le santenay a une parenté évidente avec le chassagne-montrachet, son voisin. Vigoureux, corsé, il s'exprime de façon bouquetée (noisette, fougère).","Rôti de veau, canard au poivre vert, coq au vin, gibier, fromages (morbier, pont-l’évêque, chaource). fruits de mer, poisson (truite aux amandes)."
Maranges,": Les maranges présentent une teinte rubis profond, tirant parfois sur le grenat sombre. Des touches carminées ne sont pas rares.En blanc, la couleur est nette et lumineuse, plutôt paille clair ou or très fin, embellie souvent par des reflets émeraude.","Les maranges rouges dévoilent des arômes de fraise, de framboise et de griotte. Des notes fleuries (pivoine, violette) apparaissent. Puis, l'âge conduit à des sensations de pain d'épice, de venaison, de cuir.En blanc, l'aubépine et l'acacia composent un bouquet frais.","Les maranges rouges sont fermes, structurés. Du gras et une certaine complexité composent une bouche expressive. L'acidité est généralement suffisante pour assurer quelques années de garde.Les vins blancs ont du montant, de la sève et parfois de la vivacité.","Boeuf bourguignon, perdrix au chou, ossobuco, fromages (époisses, soumaintrain, cîteaux). poisson de rivière."
Côte-de-beaune-villages,": Au nord de l'aire d'appellation, les vins se parent d'une robe rubis d'intensité moyenne. Au sud, leur couleur est plus sombre et prend dans les jeunes vins des nuances violacées.","Le nez mêle des parfums de fruits noirs et rouges (cassis, groseille, fraise) à des senteurs florales (violette), et se développe ensuite sur des arômes d'humus, de sous-bois et de champignon.","Les vins les plus septentrionaux sont souples. Les tanins s'expriment d'avantage dans les cuvées sudistes dont le palais peut sembler un peu sévère lorsque les vins sont jeunes. Après deux années de garde, les tanins s'arrondissent et confèrent à la bouche une belle matière, charnue et équilibrée.","Boeuf bourguignon, boeuf carottes, lapin à la bière, dinde farcie, viande rôtie, brochette de boeuf aux herbes, fromages (maroilles, époisses, saint-marcellin)."
Grande-rue (La),": La robe est magnifique, d'un grenat brillant.","Les arômes sont typés avec des nuances de violette, de framboise et de fruits des bois. S'y ajoutent des touches fumées et réglissées.","Dense, pleine de mâche, la grande rue révèle une structure ample et un élevage sous bois bien maîtrisé. Sa grande capacité de garde garantit une belle harmonie.","Gibier, viande rouge, fromages (cîteaux, brillat-savarin)."
Fixin,": Un vin rouge haut en couleur, à la robe violine, limpide et brillante. Ses reflets violacés animent la tonalité générale. La couleur peut toutefois être plus tendre ou, au contraire, cerise noire.Les blancs sont jaune paille doré.","Le bouquet du fixin rouge se partage entre des arômes floraux (violette, pivoine), fruités (griotte, cassis, mûre, coing parfois), animaux, musqués et poivrés.Le noyau de cerise n'est pas rare ainsi que les accents réglissés.On décèle à l'occasion la pêche cuite et la ronce.Un bouquet d'églantine sur fond minéral, légèrement muscaté, domine dans les blancs.","Souvent tannique et un peu dur dans sa jeunesse, le fixin rouge a besoin de quelques années en cave pour parfaire sa maturité. Il présente alors une attaque ronde et enlevée, une structure solide. Très persistant les bonnes années, il possède un gras remarquable, une texture fine et délicate. Il dispose d'une bonne acidité, gage d'heureuse vieillesse. Le fixin est un vin d'hiver car il demande à se faire. Chaque premier cru a son caractère le Clos de la Perrière, ferme et distingué?; le Clos du Chapitre souvent rude dans sa jeunesse, puis remarquablement épanoui?; Les Hervelets et Les Harvelets, friands et tendres.Les vins blancs ont un goût franc et agréable.","Oeufs en meurette, poularde de bresse aux morilles. poisson fin (lotte)."
Chambertin,": Le chambertin est un vin à la robe vive, dont les nuances vont du rubis foncé jusqu'à la cerise noire.","La partition aromatique peut comporter le cassis en ouverture, la groseille puis la framboise en finale. Mais la cerise à l'eau-de-vie, le noyau, l'épice et la réglisse sont souvent au rendez-vous. Quelques apports floraux – rose, jasmin ou réséda – et des notes de mousse, de sous-bois, de gibier apparaissent.","Corps, finesse, bouquet, le chambertin regorge de sève et de moelleux. Un vin entier, très concentré, puissant, sûr de lui et quelque peu dominateur. Chair et charpente s'harmonisent à merveille. L'âge le rend somptueux.","Truite ou brochet poché au chambertin, daube, coq au chambertin, gibier (chevreuil, lièvre, sanglier), fromages de caractère (ami du chambertin)."
Chambertin-clos-de-bèze,": Le chambertin-clos-de-bèze a une robe colorée, limpide et profonde.","Ouvert sur la griotte et la framboise, il est tendre et réglissé, fruité (cassis, mûre).","Puissant et long, le chambertin-clos-de-bèze exprime la force, l'opulence et l'élégance. Sa chair est voluptueuse. Il faut savoir l'attendre une bonne dizaine d'années.","Gigue de chevreuil, pigeon aux épices."
Latricières-chambertin,": Le latricières-chambertin porte une robe grenat intense, violacé.","Très entreprenant, le vin exprime le végétal noble et un boisé fin. Il évoque le sous-bois, la mousse, le champignon.","Corsé, le latricières-chambertin offre une concentration hors du commun. C'est un vin caressant, rond et soyeux, plein de sève et très long.","Canard au sang, magret de canard grillé, coq au vin, salmis de pintade."
Chapelle-chambertin,: La robe sombre évolue vers les feux du couchant.,"Le chapelle-chambertin possède une dominante empyreumatique, tout en laissant s'exprimer le fruit rouge et le végétal. Il offre des notes épicées, grillées, puis des parfums de framboise et de cannelle.","L'attaque apparaît franche, les tanins puissants, la bouche persistante. Il faut laisser vieillir ce vin au moins une dizaine d'années.","Lapin au raisin de chasselas, palombe rôtie, pigeon
aux épices, canard aux épices."
Charmes-chambertin,: Le charmes-chambertin se présente dans une robe d'un rouge grenat limpide à reflets violacés.,Violette et réglisse se partagent le bouquet avec des nuances vanillées ou grillées qui ne doivent rien au fût.,"Gras, concentration, élan annoncent une bouche aromatique.Le charmes-chambertin est un vin soyeux.","Volaille aux truff es, gigue de chevreuil, fi let de biche, pigeon aux épices."
Griotte-chambertin,": La robe rouge sombre, profonde, évoque la cerise.","La palette révèle surtout des arômes de fruits rouges et de fruits noirs bien mûrs, sur des accents réglissés.",Le griotte-chambertin allie la finesse et la puissance. Il présente un corps structuré et long.,"Poisson de rivière (truite, brochet poché, sandre), coq au vin, viande blanche, fromages (ami du chambertin), pêches de vigne au chambertin."
Mazis-chambertin,": Une robe sombre, profonde, rouge rubis habille le mazis-chambertin.","Le bouquet se compose de cerise confite, de cassis, de myrtille et d'épices. Il évoque aussi le cuir et la réglisse.","Puissance et distinction, richesse et plénitude caractérisent le mazis-chambertin, qui se prolonge en bouche dans une longueur presque sans fin.","Poisson (truite, brochet poché au chambertin), gibier (civet de lièvre), boeuf en daube, fromages (ami du chambertin)."
Mazoyères-chambertin,: Le vin est de couleur rouge vif à reflets violacés dans sa jeunesse.,Les arômes de petits fruits rouges frais (griotte) ou confits partagent la vedette avec les notes grillées. Ils sont suivis de nuances de cuir.,"Puissant, le mazoyères-chambertin présente une grande complexité fruitée (fruits à noyau) et longueur en bouche.","Poisson de rivière, gibier, volaille aux truff es, fromages (ami du chambertin, époisses)."
Ruchottes-chambertin,": Le ruchottes-chambertin s'habille d'une robe rubis vif, aux multiples reflets.","Le bouquet est discret, fruité (cassis, groseille, framboise) et floral (rose, jasmin).","Vigueur et mordant, richesse en tanins et en alcool caractérisent le ruchottes-chambertin. Ce vin possède à la fois du gras et du fondu.","Poisson (truite, matelote de la saône, brochet poché au chambertin), gibier, boeuf en daube, fromages (ami du chambertin)."
Morey-saint-denis,": La robe du morey-saint-denis rouge évolue du rubis vif au grenat intense, en passant par le carmin. Les reflets violacés sont un signe de jeunesse préservée.En blanc, la couleur est très claire.","Le bouquet du morey-saint-denis rouge se partage entre les petits fruits noirs (cassis, myrtille, mûre) et le fruit rouge à noyau (cerise), mais il comporte mille variantes (prunelle, réglisse, ronce, violette, jasmin, œillet). Les arômes de fruits macérés (fruits à l'eau-de-vie) apparaissent avec l'âge.Les vins blancs expriment des notes florales qui l'emportent sur les épices et les arômes de beurre.","Un morey-saint-denis classique est soutenu, structuré. Le fruit mûrit avec les années.Fin, le morey-saint-denis blanc réussit le parfait équilibre entre gras et acidité.","Pintade au chou, lapin à la moutarde, fromages (époisses, munster, livarot). poisson de rivière, volaille."
Clos-de-la-roche,": La robe est rubis franc, tirant sur le framboisé ou quelquefois sur des nuances crépusculaires, sombres et violacées.","Les arômes les plus courants s'inscrivent dans plusieurs familles. Le fruit la merise (cerise sauvage), l'airelle. Le floral la violette surtout. L'humus, le sous-bois, la terre mouillée. Autres arômes fréquents truffe et réglisse.","Le clos-de-la-roche apparaît charpenté, avec une mâche, une puissance étonnante. Sa longueur en bouche s'éternise dans les grands millésimes.","Jambon sauce au vin, râble de lièvre, cuissot de sanglier, chevreuil, palombe, côte de veau aux champignons, fromages (vacherin, mont-d’or, saint-nectaire, cîteaux)."
Clos-saint-denis,: La robe rouge grenat sombre se distingue par ses reflets violacés.,"Les parfums se mêlent de façon subtile et complexe cassis, mûre, pain d'épice, mais aussi pruneau, musc, violette et café.","Le clos-saint-denis est souvent d'une tendresse fruitée, il a un charme saisissant. Moins remarquable par son ampleur que par ses nuances, il gagne un caractère un peu plus chaleureux lorsqu'il est issu de la partie méridionale de l'appellation.","Jambon à la crème (ou à la lie de vin), gibier (râble de lièvre, cuissot de sanglier, chevreuil), fromages (vacherin, mont-d’or, saint-nectaire, cîteaux)."
Clos-de-tart,": La robe est d'un beau rouge soutenu, rubis.","Jeune, le clos-de-tart présente des arômes de fruits rouges (fraise, framboise) et de fleurs (violette).Plus âgé (une dizaine d'années), ce grand cru devient extrêmement parfumé, évoquant la venaison, les épices et le cuir, les fruits mûrs.","Assez tannique dans sa jeunesse, le clos-de-tart s'assouplit avec l'âge pour devenir un très grand vin, élégant, structuré, d'une garde merveilleuse.","Jambon à la crème, gibier à poil (lièvre, sanglier, chevreuil), fromages (vacherin, mont-d’or, saintnectaire, cîteaux)."
Clos-des-lambrays,": La robe est rubis franc, tirant sur le framboisé ou quelquefois sur des nuances sombres et violacées.","Le clos-des-lambrays exprime des arômes complexes de cuir, de fruits cuits, de tabac blond, de feuilles mortes et de sous-bois. Un côté animal apparaît après la garde.","Le clos-des-lambrays est un vin corsé, à la fois rude et souple, main de fer dans un gant de velours. Il exprime rarement les petits fruits rouges et noirs.","Gibier à plume (palombe, faisan, grive) et à poil (chevreuil, lièvre, marcassin), fromages à pâte molle."
Chambolle-musigny,": La robe du chambolle-musigny s'accompagne parfois d'une nuance rouge brique ou rubis souvent très vif, avec une auréole de reflets brillants et lumineux.","La violette se rencontre fréquemment, de même que les petits fruits rouges (fraise, framboise surtout).Un vin assez âgé exprimera le fruit mûr épicé, le pruneau, quelquefois des accents plus sauvages, la truffe, le sous-bois, l'animal.","Riches, bouquetés et complexes, ces vins, en particulier les premiers crus, ont une personnalité caractéristique. Ils évoquent la soie et la dentelle. Leur finesse charnue ne les empêche pas de conserver une structure assez solide pour résister aux effets de l'âge.","Volaille et viande tendre (tournedos chasseur, canard braisé au vin rouge ou à l’orange, sauté d’agneau), fromages (brillat-savarin, cîteaux)."
Bonnes-mares,": La robe est d'un beau rubis net et franc, tirant sur des nuances pourpre sombre ou grenat foncé avec des reflets mauves.","Les arômes forment un bouquet teinté de violette. Autre rappel le sous-bois, la mousse, le champignon, la terre mouillée et quelques notes animales. L'âge apporte des touches de cuir, de musc, de fourrure et d'épices. Le vin devient en outre plus fleuri (lilas, bouton de rose) que fruité (mûre, myrtille).","Ce vin très racé a besoin de plusieurs années pour s'ouvrir. D'une nature assez tannique, il s'affine peu à peu pour devenir riche, gras, d'une belle texture et d'une structure charpentée. Son caractère est souvent corsé, parfois un peu sauvage. Le bonnes-mares possède une longévité remarquable, jusqu'à trente ou cinquante ans.","Canard, poulet de bresse aux petits légumes,
gibier, fromages (époisses, ami du chambertin,
soumaintrain, langres)."
Musigny,": La robe du musigny rouge est de teinte framboise, dans une tonalité profonde.En blanc, le vin chardonne superbement dans des teintes or clair évoluant avec l'âge vers l'or jaune.","En rouge, le musigny évoque un jardin mouillé par la rosée du matin la rose, l'églantine, la violette.En blanc, il mêle la violette à l'amande.","En rouge, on reconnaît à ce vin l'équilibre parfait entre les tanins et la délicatesse. Le","Canard, dindonneau rôti, volaille de bresse, fromages (cîteaux, coulommiers). écrevisses, homard à l’américaine."
Vougeot,": En rouge, la couleur est profonde et lumineuse, avec une tonalité pourpre.En blanc, la robe est fine, délicate. Après une décennie, elle évolue vers une teinte or plus soutenue.","En rouge, le nez évoque les fleurs (violette) et les fruits rouges ou noirs (framboise, griotte, cassis). Les vins âgés développent des notes de sous-bois, de feuille morte, de truffe, accompagnées d'évocations animales.En blanc, les arômes d'aubépine et d'acacia sont d'un abord aimable. Puis apparaît une nuance minérale héritée du sol pierreux, très calcaire de Vougeot. Pomme et agrumes se manifestent quelquefois, tandis que l'ambre et les épices se révèlent dans les vins plus âgés.","Le gras et l'acidité composent l'harmonie du vougeot rouge. Les tanins sont certes présents, mais délicatement enrobés. Une touche réglissée est fréquente.Le vougeot blanc est sec, vif, avec cette nuance corsée, assez particulière du chardonnay en Côte de Nuits.","Viande rouge grillée ou rôtie, gibier (faisan, chevreuil), fromages (cîteaux, brillat-savarin, reblochon, vacherin, mont-d’or). poisson grillé ou au four, fromages (comté, chèvre)."
Clos-de-vougeot,": Selon l'âge et la vinification, la robe varie du rouge framboise limpide au grenat intense.","La suavité d'un bouquet évoquant l'arôme du printemps. Cette gamme réunit la rose fraîchement éclose, la violette sous la rosée, les résédas mouillés, l'églantier. Il s'y ajoute d'autres registres mûre, framboise, myrtille, bigareau, réglisse, menthe sauvage, truffe.","Le clos-de-vougeot a de la sève et du moelleux, de la finesse, un goût souverain. Plein, charnu, il lui arrive d'exploser en bouche.Il possède deux traits remarquables son aptitude à une longue garde et la persistance en bouche. Une fois qu'il s'installe au palais, il n'en bouge plus.","Gibier à poil (chevreuil, marcassin), gibier à plume (perdreau, bécasse, grive), rôti de boeuf, gigot d’agneau en croûte et aux truff es, jambon en croûte, pâté chaud, fromages (époisses, langres, ami du chambertin, saint-fl orentin, soumaintrain)."
Échézeaux,": Rubis pur, vif et profond, une robe limpide dont les nuances tirent en général sur des teintes grenat, violet pourpre, assez sombres.","Avec l'âge, un nez fait de poivre et de musc, de fourrure, de cuir et d'épices, de pruneau. Un sous-bois de mousse, de champignons, de terreau humide, de gibier. Le fruit dans l'alcool, la mûre complètent cette gamme aromatique. Dans les vins encore jeunes, on rencontre le pin, l'églantine, la rose, la violette, la cerise fraîche.","L'échézeaux est parfait au bout de deux ou trois ans, puis il se ferme et réapparaît après cinq à dix ans. L'attaque est enlevée, l'équilibre plaisant sur des tanins assez souples, la rondeur goûteuse et souvent framboisée.","Gigot d’agneau, viande rouge, gibier, fromages (cîteaux, saint-nectaire, coulommiers, brillat-savarin, reblochon)."
Grands-échézeaux,": Des teintes grenat, violet pourpre, assez sombres, animent la robe.","Poivre, notes animales et épicées, pruneau, mais aussi sous-bois forment une palette riche et complexe que complètent les arômes d'un boisé bien maîtrisé.","Subtil et raffiné, un grands-échézeaux exprime toute la complexité bourguignonne, tout le potentiel du pinot noir sur un terroir prédestiné. Il est grand avant d'être échézeaux, avec une touche de classe, de vinosité en plus, une texture dense, un grain serré.","Gigot d’agneau, rôti de boeuf, gibier à plume, fromages (cîteaux, saint-nectaire, coulommiers, brillat- savarin, reblochon)."
Vosne-romanée,": La robe pourpre intense, rouge feu, s'oriente parfois vers le grenat.","Le fruit bien mûr sur fond épicé constitue l'arôme dominant. La fraise et la framboise pour les petits fruits rouges?; la mûre, la myrtille et le cassis pour les petits fruits noirs. Ces arômes fondus et raffinés évoluent avec l'âge vers la cerise à l'eau-de-vie, le confit, le cuir et la fourrure. Des notes torréfiées dues à l'élevage en fût peuvent apparaître.","Velours et distinction la plénitude du pinot noir. Le vosne-romanée est un vin de garde qui nécessite plusieurs années de maturité. Quelque peu austère et ferme dans sa jeunesse, il tire profit du temps pour enrober ses tanins. La finale est d'une longueur remarquable.","Oeufs en meurette, gibier à poil, canard aux navets, poulet de bresse, fricassée de champignons, fromages (brie, saint-nectaire, coulommiers)."
Romanée (La),": D'une tonalité très soutenue et profonde durant les premières années, la robe devient vivace, intense après quinze ans de garde.","Le fruit noir (cassis et mûre) constitue l'entrée en matière d'une jeune romanée, qui reste assez fermée dans ses cinq ou six premières années. Avec le temps s'ajoutent des arômes de figue ou de datte, de prune et de fruits confits qui évoluent à l'aération vers des senteurs animales (musc, cuir, fourrure).","Souvent un peu dure dans sa jeunesse, plus veloutée ensuite, la bouche est tout en arômes de cerise fraîche. Elle s'exprime différemment selon le millésime, tantôt fruitée, tantôt corsée.","Gibier à plume (faisan, perdreau, pigeon) ou à poil (noisette de chevreuil aux raisins), chapon aux truff es, gigot ou selle d’agneau, fromages (époisses ou cîteaux)."
Romanée-conti,": La robe du vin jeune est d'un rouge vif et lustré. Il faut alors attendre cinq à dix ans pour qu'elle prenne des teintes carmin, nuancées d'acajou mordoré.","Le vin dans sa maturité laisse percevoir un bouquet aussi subtil que complexe, mêlant rose à peine fanée, raisin en fleur, mûre, violette, terre mouillée, noyau de cerise, bruyère, cèpe, truffe, voire noix, musc et cuir.","Particulièrement discret dans sa jeunesse, le palais affiche déjà une structure parfaite, à la fois souple et serrée, soutenue par une belle acidité. Cette constitution monumentale et cette texture d'une extrême finesse révèlent peu à peu une personnalité d'une complexité sans limite.","Carré de mouton, lièvre à la royale, fi lets de levraut truffés, rôti de boeuf, fromages (cîteaux, saint-nectaire, coulommiers, brillat-savarin, reblochon)."
Romanée-saint-vivant,": La robe pourpre très soutenu a suffisamment d'étoffe pour ne rien perdre de sa vivacité avec l'âge. La couleur tire, avec le temps, sur le mordoré, l'acajou.","Les vins de romanée-saint-vivant évoquent fréquemment la rose, la cerise, parfois la résine, la pistache, l'encens aussi, sur des élans de sauvagine, d'épices et de menthe poivrée.","D'une féminité extrême, la romanée-saint-vivant offre souvent un goût de cerise cueillie sur l'arbre. Derrière la grâce, une texture très fine, la marque du pinot noir, le maximum de gras en bouche. C'est un vin à conserver avec précaution.","Gibier, lièvre à la royale, coq au vin, fromages (cîteaux)."
Richebourg,": Un richebourg peut être rubis léger ou drapé de velours, ou bien rouge sombre tirant sur le pourpre. Cependant, la robe est presque toujours intense et dense, lumineuse et parcourue de reflets carmin.","Jeune, le vin dévoile des arômes de musc, de cuir de Russie et des nuances de santal. Il évolue vers l'aubépine et la fleur de pêcher. Puis, deux familles aromatiques se distinguent à travers les nuances de lichen, de sous-bois, de champignon et les notes de cerise, de cassis, de fruits cuits ou confits.","Il faut laisser à ce vin le temps nécessaire à sa montée en puissance, à la recherche de son équilibre. Car jeune, il est intense, violent. Le richebourg devient, les grandes années, élégant et racé, très concentré et capable d'une longue garde.","Pièce de charolais, pigeonneau, chapon aux truffes, faisan au céleri, noisette de chevreuil aux raisins, lièvre à la royale."
Tâche (La),: La robe rubis se pare de reflets sombres.,"La palette réglissée mêle des arômes d'herbes sauvages, d'épices, de champignon et de fruits à l'alcool. Le nez est riche et concentré.","Si elle semble réservée dans ses deux premières années, la tâche s'exprime ensuite avec élégance grâce à une structure ample et longue.","Poule faisane, poularde de bresse, truff e, fromages (coulommiers, cîteaux)."
Nuits-saint-georges,": Nocturne jusque dans son nom, le nuits-saint-georges présente souvent une robe pourpre crépusculaire, intense et tirant parfois sur le mauve. Un rouge net, sombre et lumineux.","Le nuits-saint-georges évoque souvent des nuances de rose et de réglisse. On rencontre selon l'âge du vin des parfums de jeunesse (cerise, fraise, cassis) ou des arômes plus mûrs (cuir, fourrure, truffe, gibier, épices). Les notes de fruits macérés (pruneau) sont fréquentes.","Le tempérament est d'abord vigoureux et corsé, volontiers tannique. Du corps et de la mâche. La maturité arrondit le vin en lui donnant un excellent moelleux. Certains premiers crus ont un caractère assez tendre et peuvent être bus jeunes par exemple, Les Damodes, Les Didiers (appartenant aux Hospices de Nuits), Les Corvées Paget, Les Saint-Georges.","Jambon à la crème, viande blanche, gibier, fromages (époisses, langres)."
Côte-de-nuits-villages,": En rouge, le vin tire jusqu'au grenat intense ou au rubis violacé, nuancé d'ambre avec l'âge. Jeune, il a une couleur cerise brillante.En blanc, il doit être or clair, légèrement doré, limpide.","En rouge, les arômes s'expriment sur fond de cassis, de groseille, de cerise et de fraise. Ils sont évocateurs du sous-bois, du champignon, de la cannelle.En blanc, les arômes rappellent les fleurs blanches (acacia, aubépine), ainsi que la prune, la pomme mûre avec l'âge, la figue, la poire ou le coing. Notes épicées également.","En rouge, ce vin puissant a besoin de quelques années de garde pour acquérir sa plénitude. Du gras accompagne le fondu des tanins.En blanc, vif, net, le vin conserve une expression aimable.","Viande rouge grillée, boeuf bourguignon, volaille, fromages. terrine de foie de volaille, poisson, lapin aux pruneaux."
Irancy,": La robe est rubis, tirant parfois sur le grenat, moyennement intense mais brillante.","Le fruit rouge « pointe » framboise, cerise, nuance de griotte. Le fruit noir (cassis, mûre) rehausse cette gamme aromatique vive et fraîche sur un ton plus capiteux. La violette apporte parfois des accents floraux. Plus âgé, l'irancy évoque les épices, la truffe, le cuir, le sous-bois.","Assez corpulent et riche, l'irancy présente un équilibre bien marqué entre l'étoffe et la vivacité. Jeune, il lui arrive d'être austère, un peu fermé. Quelques années de garde lui donnent de l'élégance et du relief. Un bon irancy doit exprimer une forte concentration, une charpente robuste, avec ce qu'il faut de rondeur.","Charcuterie, jambon persillé, viande en sauce, canard aux olives, petit salé aux lentilles, boeuf gros sel, fromages (époisses, chaource, soumaintrain)."
Petit-chablis,": Or argent, le petit-chablis est plutôt pâle, doré tendre.","Ce vin offre un bouquet de fleurs blanches et des arômes d'agrumes, de pierre à fusil et de cire d'abeille.","Vin charpenté, frais et très sec, le petit-chablis offre un retour minéral caractéristique.","Apéritif, fruits de mer (huîtres), andouillette, cuisine asiatique."
Chablis premier cru,": Le chablis était autrefois apprécié pour sa teinte pâle et limpide. Il se présente aujourd'hui sous des traits plus colorés, mais sans aller jusqu'au jaune, or pâle ou plus soutenu, à reflets verdâtres. Le fameux or vert.","Le chablis premier cru exprime un registre aromatique original. Les notes dominantes sont iodées et minérales (pierre à fusil, silex) sur fond de mousseron, de sous-bois. D'autres touches fréquentes sont le citron, les fruits secs, l'amande, le noyau, la feuille de cassis.","Le chablis premier cru est sec, vif et léger. La rondeur et la distinction sont les points communs de tous les premiers crus. L'harmonie entre le corps et l'acidité est remarquable, selon un tempérament généralement incisif mais généreux le gras enveloppe une flamme minérale. Souvent très long, ce vin a du montant.","Fruits de mer, cuisses de grenouilles, chapon rôti,
poularde de bresse, poisson de rivière en sauce
ou à l’oseille, fromages (bleu de bresse, crottin de
chavignol)."
Chablis grand cru,": Le chablis offre des traits discrets, dans cette tonalité or vert qui est ici le signe de la perfection.","Les arômes classiques se distinguent par des notes beurrées (croissant chaud). Le chablis est minéral (silex, pierre à fusil), avec des accents de tilleul, de jujube disent certains, de fruits secs, de miel et d'amande grillée (élevage en fût). Le mousseron est le champignon le plus chablisien.","Le chablis grand cru a naturellement le goût du chardonnay bourguignon, mais le miel y est plus discret, au profit des mêmes sensations minérales. L'équilibre parfait entre l'acidité et le gras fait tout le charme et l'originalité d'un vin inimitable et pourtant imité.","Fruits de mer, poisson en sauce, truite aux
amandes, viande blanche, volaille (poularde à la
crème), cuisses de grenouilles, escargots de bourgogne."
Saint-bris,": Le saint-bris est souvent or clair, d'un blanc mat. Parfois, un jaune plus soutenu l'habille.","La palette dévoile des arômes minéraux de silex, de pierre à fusil. Le côté chablisien du vin se révèle à travers des notes de champignon et de sous-bois. Le cuir et les épices sont également perceptibles. Certains saint-bris sont plus aromatiques encore?; ils déclinent les agrumes – notamment le pamplemousse –, les fleurs blanches, le bois de rose, la feuille de cassis, la pomme, l'amande amère et parfois même la framboise.","Très sec, le saint-bris laisse une impression de vivacité grâce à ses notes acidulées de pomme verte et d'agrumes. Floral et tendre, il délaisse sa verdeur de jeunesse pour acquérir plus de sève après deux ou trois ans de garde.",
Mâcon et mâcon-villages,: La robe de ce vin oscille entre l'or jaune et la couleur paille?; elle tire quelquefois vers l'or blanc ou le cendré.,"Les arômes s'inscrivent dans le registre floral en rappelant le genêt, l'acacia, le chèvrefeuille. La fougère, la verveine, la citronnelle et les agrumes complètent la palette.","Le mâcon-villages est un vin frais et sec. Bien fruité au palais, il ne manque ni de rondeur ni de suavité. Sa constitution de qualité, grâce à un bon support acide, lui permet une petite garde.","Charcuterie, andouille aux haricots, petit salé aux lentilles, boeuf gros sel, fromages (reblochon, tomme, abondance). entrées, charcuterie. cuisses de grenouilles, escargots, jambon persillé, poisson poché (vin jeune) ou cuisiné (vin plus mûr), andouillette, poulet de bresse à la crème, fromages de chèvre."
Mâcon supérieur,,,,
Pouilly-fuissé,": La robe présente des nuances variées qui vont de l'or pâle à reflets gris au jaune pastel. Généralement or soutenu, le pouilly-fuissé est limpide et brillant.","Le bouquet évoque différentes familles d'arômes notes minérales, noisette et amande, agrumes (citron, pamplemousse, ananas), fruit blanc (pêche), fougère et tilleul, miel, mie de pain et brioche au beurre.","Sous des traits souvent opulents, le pouilly-fuissé possède une structure pleine et entière que favorise une bonne teneur en alcool naturel. Finesse et distinction définissent sa bouche qui exprime fréquemment une certaine amertume en finale. Ce n'est pas un défaut.",
Pouilly-loché,: La robe évoque toutes les nuances jaunes d'un dessin à l'aquarelle.,"Le pouilly-loché présente des arômes analogues à ceux du pouilly-fuissé, avec parfois des accents de pivoine, de poire et d'abricot, de coing, de pomme au four ou de cire.","Le moelleux et l'acidité jouent à armes égales, dans un style assez puissant?; le gras domine en finale. Le climat Les Mures se distingue pour la qualité de ses vins.",
